"","lon","lat","type","loctype","address","north","south","east","west","street_number","route","neighborhood","locality","administrative_area_level_2","administrative_area_level_1","country","postal_code","original","address1","original1"
"1",-75.5622555,6.1896486,"street_address","range_interpolated","cl. 9b sur #25-161, medellín, antioquia, colombia",6.1910066302915,6.1883086697085,-75.5609041697085,-75.5636021302915,"25161","Calle 9b Sur","Los Balsos 1","Medellín","Medellín","Antioquia","Colombia","050022","CL 9 B SUR 25 -161   Medellin, Antioquia, Colombia","CL9BSUR25161MEDELLÍNANTIOQUIACOLOMBIA","CL9BSUR25161MEDELLINANTIOQUIACOLOMBIA"
"2",-75.6009395,6.2166533,"street_address","range_interpolated","cl. 5 #76a-76, medellín, antioquia, colombia",6.2179932802915,6.2152953197085,-75.5995928697085,-75.6022908302915,"76a76","Calle 5","Loma de Los Bernal","Medellín","Medellín","Antioquia","Colombia","050026","CL 5  76 A -97   Medellin, Antioquia, Colombia","CL576A76MEDELLÍNANTIOQUIACOLOMBIA","CL576A97MEDELLINANTIOQUIACOLOMBIA"
"3",-75.5580025,6.2088222,"street_address","range_interpolated","cl. 10 #28-70, medellín, antioquia, colombia",6.2101627802915,6.2074648197085,-75.5566576197085,-75.5593555802915,"2870","Calle 10","Las Lomas II","Medellín","Medellín","Antioquia","Colombia","050021","CL 10  28 -70   Medellin, Antioquia, Colombia","CL102870MEDELLÍNANTIOQUIACOLOMBIA","CL102870MEDELLINANTIOQUIACOLOMBIA"
"4",-75.5660832,6.2169521,"street_address","range_interpolated","cl. 17 #37a-40, medellín, antioquia, colombia",6.2182918302915,6.2155938697085,-75.5647354197085,-75.5674333802915,"37a40","Calle 17","Castropol","Medellín","Medellín","Antioquia","Colombia","050021","CL 17  40 B -86   Medellin, Antioquia, Colombia","CL1737A40MEDELLÍNANTIOQUIACOLOMBIA","CL1740B86MEDELLINANTIOQUIACOLOMBIA"
"5",-75.591155,6.1814866,"street_address","range_interpolated","cra. 42 #75-5, itagüi, medellín, antioquia, colombia",6.1828304302915,6.1801324697085,-75.5897981697085,-75.5924961302915,"755","Carrera 42",NA,"Itagüi","Medellín","Antioquia","Colombia","055411","CR 42  5  SUR -46 Medellin, Antioquia, Colombia","CRA42755ITAGÜIMEDELLÍNANTIOQUIACOLOMBIA","CR425SUR46MEDELLINANTIOQUIACOLOMBIA"
"6",-75.5637785,6.1873822,"street_address","range_interpolated","cl. 12 sur #25-293, medellín, antioquia, colombia",6.1887382302915,6.1860402697085,-75.5624233697085,-75.5651213302915,"25293","Calle 12 Sur","Los Balsos 1","Medellín","Medellín","Antioquia","Colombia","050022","CL 12 SUR 25 -293 Medellin, Antioquia, Colombia","CL12SUR25293MEDELLÍNANTIOQUIACOLOMBIA","CL12SUR25293MEDELLINANTIOQUIACOLOMBIA"
"7",-75.5663651,6.2099267,"street_address","range_interpolated","cra. 37 #10a-5, medellín, antioquia, colombia",6.2112723302915,6.2085743697085,-75.5650073697085,-75.5677053302915,"10a5","Carrera 37",NA,"Medellín","Medellín","Antioquia","Colombia","050021","CL 37  5 0 SUR  -17 Medellin, Antioquia, Colombia","CRA3710A5MEDELLÍNANTIOQUIACOLOMBIA","CL3750SUR17MEDELLINANTIOQUIACOLOMBIA"
"8",-75.5936255,6.2407227,"street_address","range_interpolated","tv. 38 #71-146, medellín, antioquia, colombia",6.2420653802915,6.2393674197085,-75.5922834197085,-75.5949813802915,"71146","Transversal 38","Laureles","Medellín","Medellín","Antioquia","Colombia","050031","TV 38  71 -146   Medellin, Antioquia, Colombia","TV3871146MEDELLÍNANTIOQUIACOLOMBIA","TV3871146MEDELLINANTIOQUIACOLOMBIA"
"9",-75.58145,6.2417904,"street_address","range_interpolated","cl. 37 #64-60, medellín, antioquia, colombia",6.2431300802915,6.2404321197085,-75.5801002697085,-75.5827982302915,"6460","Calle 37","Conquistadores","Medellín","Medellín","Antioquia","Colombia","050030","CL 37  64 -60   Medellin, Antioquia, Colombia","CL376460MEDELLÍNANTIOQUIACOLOMBIA","CL376460MEDELLINANTIOQUIACOLOMBIA"
"10",-75.6040768,6.2206648,"street_address","range_interpolated","cl. 15 #81b-34, medellín, antioquia, colombia",6.2220045302915,6.2193065697085,-75.6027289697085,-75.6054269302915,"81b34","Calle 15","Barrio Belén La Gloria","Medellín","Medellín","Antioquia","Colombia","050026","CR 15 C 34 D -62 Medellin, Antioquia, Colombia","CL1581B34MEDELLÍNANTIOQUIACOLOMBIA","CR15C34D62MEDELLINANTIOQUIACOLOMBIA"
